name,community_no,n_nodes,n_edges,density,transitivity,distance,top_degree_in,top_degree_out,top_betweenness,n_Application,n_PlugIn,n_ProgrammingEnvironment,n_OperatingSystem,p_Application,p_PlugIn,p_ProgrammingEnvironment,p_OperatingSystem,topconcepts_names,topconcepts_p
community_no: 1,1,92,396,0.04730052556139512,0.601074018966256,2.0948399426660296,R;Bioconductor;lme4,MSstats;Epi;Analyst;Bioplex Manager;Skyline;EpiR,R;G*Power;CALIB,46,44,2,0,0.5,0.4782608695652174,0.021739130434782608,0,biochemistry_genetics_and_molecular_biology;medicine;agricultural_and_biological_sciences,0.13;0.12;0.11
community_no: 2,2,92,538,0.06426182513139035,0.5038427315775098,2.3979933110367893,MATLAB;AFNI;SPM,Cogent;3dClustsim;3dDeconvolve;3dDetrend;3dFWHMx;3dmaskave;3dttest+ +;waver;Advanced Normalization Tools;3dBandpass;3dDespike;MapIcosahedron;SUMA;BootES;PyMVPA;MSM-All;NeuroDebian;Debian,MATLAB;SPM;AFNI,44,45,2,1,0.4782608695652174,0.4891304347826087,0.021739130434782608,0.010869565217391304,biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine,0.13;0.13;0.11
community_no: 3,3,80,482,0.07626582278481013,0.5420575079607771,2.2813291139240506,Windows;Linux;Mac,gplots;coXpress;hgu95av2;hu6800;gdata;gtools;plotrix,Windows;C++;Linux,48,16,9,7,0.6,0.2,0.1125,0.0875,biochemistry_genetics_and_molecular_biology;medicine;agricultural_and_biological_sciences,0.1;0.09;0.09
community_no: 4,4,65,1372,0.3298076923076923,0.7489197302915467,1.8086538461538462,BLAST;MEGA;GENEPOP,PHASE;Bioportal;VIP;DIYABC;LAGRANGE;SPAGeDI;CLUMPP;DISTRUCT;SPLITSTREE;FREENA,BLAST;MEGA;GENEPOP,62,3,0,0,0.9538461538461539,0.046153846153846156,0,0,biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine,0.05;0.05;0.05
community_no: 5,5,62,386,0.10206240084611316,0.6204732669969314,2.294553146483342,Prism;ImageJ;Photoshop,Cytobank;TopSpin;AMIX;Chenomx;Rotor-Gene Q;SIMCA-P,Prism;Statistica;Photoshop,57,4,0,1,0.9193548387096774,0.06451612903225806,0,0.016129032258064516,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.1;0.09;0.08
community_no: 6,6,58,372,0.11252268602540835,0.5341185640462351,2.135511191772535,SPSS;FSL;FLIRT,CubeX;dual regression;FMRIB's Automated Segmentation Tool;FMRIBâ€™s Integrated Registration and Segmentation Tool;FMRIB's ICA-based X-noiseifier;FNIRT;VBM;Multivariate Exploratory Linear Optimized Decomposition into Independent Components;threshold-free cluster enhancement;tract-based spatial statistics,SPSS;FSL;Primer,40,18,0,0,0.6896551724137931,0.3103448275862069,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.27;0.26;0.26
community_no: 7,7,49,148,0.06292517006802721,0.27844262765095945,2.5552721088435373,Stata;SAS;ArcGIS,geo-spatial modeling environment;Fragstats;Spatial Statistics;ENVI,Stata;SAS;ArcGIS,38,10,0,1,0.7755102040816326,0.20408163265306123,0,0.02040816326530612,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.18;0.17;0.16
community_no: 8,8,46,306,0.14782608695652175,0.6797055927077743,1.885990338164251,Python;VirtualBox;matplotlib,PhosphOrtholog;Internet Explorer;jQuery;Safari;Chrome;Django;HTML,Python;VirtualBox;matplotlib,20,22,4,0,0.43478260869565216,0.4782608695652174,0.08695652173913043,0,biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;computer_science,0.08;0.07;0.05
community_no: 9,9,45,188,0.09494949494949495,0.4834174561771317,2.257575757575758,Java;GitHub;Novoalign,Novoalign;GARLI;Prokaryotic Genomes Automatic Annotation Pipeline;SMRT analysis;CLC Genomic Workbench;Newbler,Java;GitHub;ProteoLens;Java JRE;Java Virtual Machine;Optflux;CBFA;JDK;GLPK;LabVIEW;Immunoratio;FigureJ;ROCR;Ki67 Vv;LAMINA;Java Advanced Imaging;3PD;JavaScript;Podbat;DOGS;Chemistry Development Kit;RNA-SeQC;MatrixConverter;PathVisioRPC;PathVisio;QuIN;Tomcat;MySQL;AlignerBoost;ASPASIA;MAGERI;iDREM;Novoalign;THREaD Mapper Studio;GARLI;Prokaryotic Genomes Automatic Annotation Pipeline;SMRT analysis;CLC Genomic Workbench;Newbler;Ensembler;MultiTypeTree;VDJtools;Wham;MAGPIE;Ruby on Rails,37,4,4,0,0.8222222222222222,0.08888888888888889,0.08888888888888889,0,biochemistry_genetics_and_molecular_biology;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.04;0.04;0.04
community_no: 10,10,42,252,0.14634146341463414,0.5130574322845856,2.1962833914053426,Excel;MASCOT;SigmaPlot,FGENESB;BioTools;Artemis;PhylopythiaS;Rapid Annotation using Subsystem Technology;ProteomeWeaver;Flex Analysis;InterPro,Excel;EEGLAB;OriginPro,36,5,1,0,0.8571428571428571,0.11904761904761904,0.023809523809523808,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.19;0.18;0.17
community_no: 11,11,37,484,0.36336336336336333,0.8439936289223191,1.6891891891891893,GATK;PLINK;Ingenuity Pathway Analysis,GATK;CoNIFER;PEDSTATS;PennCNV;mrsFAST;cnvHap;MERLIN;BEAGLE;PBAP;Genome Variation Server;MORGAN;Seattle Seq;Variant Effect Predictor;SLINK,PLINK;GATK;Ingenuity Pathway Analysis,33,4,0,0,0.8918918918918919,0.10810810810810811,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.04;0.04;0.04
community_no: 12,12,29,812,1,0.997072836442025,1,samtools;PolyPhen;edgeR,MutationalPatterns;MutationAssessor;VarScan;MuPeXI;NetMHCpan;ASCAT;ChAMP;SomaticSignatures;tximport;survminer;bcl2fastq2;consensus MIBC;Salmon;MSIsensor;Trim Galore!;bam-readcount;MuTect;Polysolver;Visiopharm;RTN;SnpEff;REDCap;xCell,samtools;survival;PolyPhen,19,10,0,0,0.6551724137931034,0.3448275862068966,0,0,biochemistry_genetics_and_molecular_biology;medicine;agricultural_and_biological_sciences;biochemistry_genetics_and_molecular_biology,0.04;0.03;0.03;0.03
community_no: 13,13,25,302,0.5033333333333333,0.8253624502908737,1.5733333333333333,STAR;Cluster;TreeView,RSeQC;Subread;CASAVA;DESeq2;CIBERSORT;Rtsne;RTA;PIVOT;ToppFun;immunoSEQ Analyzer;Bioanalyzer,FlowJo;Genepix Pro;Sailfish,23,2,0,0,0.92,0.08,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.07;0.07;0.07
community_no: 14,14,24,208,0.3768115942028985,0.8813235543749047,1.7753623188405796,GSEA;TopHat;FastQC,FastQC;TopHat;GOseq;KOBAS;MACS;FIMO;DESeq;HTSeq;skewer;BisoGenet;DAVID;Expression Analysis Systematic Explorer;Functional Annotation Tool;Cufflinks;iGenomes;BD FACSDiva,GSEA;Cytoscape;TopHat,14,10,0,0,0.5833333333333334,0.4166666666666667,0,0,biochemistry_genetics_and_molecular_biology;medicine;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.03
community_no: 15,15,20,232,0.6105263157894737,0.853456973793901,1.4631578947368422,METAL;DISSECT;HRC;BOLT-LMM;ordinal;rms;GTX;SMARTPCA;METACARPA;Quanto;SHAPEITv;SNPTEST;IMPUTE;KING;GenCall,DISSECT;HRC;BOLT-LMM;ordinal;rms;GTX;SMARTPCA;METACARPA;Quanto;SHAPEITv;SNPTEST;IMPUTE;KING;GenCall,METAL;DISSECT;HRC;BOLT-LMM;ordinal;rms;GTX;SMARTPCA;METACARPA;Quanto;SHAPEITv;SNPTEST;IMPUTE;KING;GenCall;MACH;GRIMP;BeadStudio;Mach2QTL;Birdseye,17,3,0,0,0.85,0.15,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.03;0.03;0.03;0.03;0.03;0.03
community_no: 16,16,19,126,0.368421052631579,0.7210265105975959,1.8596491228070176,miRDB;TargetScan;Venny,Mirdeep2;edge;Primer-BLAST,Trimmomatic;Kubios HRV;Vegan;miRDB;Mirdeep2;edge;Primer-BLAST;TargetScan;Venny;Image Lab;MCODE;microRNA;ModFit;PPI Network;Xena;Iox;SILVA SINA;mothur;Bowtie,16,3,0,0,0.8421052631578947,0.15789473684210525,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.05;0.05;0.05
community_no: 17,17,11,82,0.7454545454545454,0.8418000034298846,1.2545454545454546,ORTEP;SHELXTL;SADABS;SAINT;Chimera;Prediction of Activity Spectra for Substances;AMBERTOOLS;CPPTRAJ;MOE,SADABS;SAINT;Chimera;Prediction of Activity Spectra for Substances;AMBERTOOLS;CPPTRAJ;MOE,SHELXTL;ORTEP;PLATON;CrystalClear;SADABS;SAINT;Chimera;Prediction of Activity Spectra for Substances;AMBERTOOLS;CPPTRAJ;MOE,10,1,0,0,0.9090909090909091,0.09090909090909091,0,0,chemistry;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;physics_and_astronomy;materials_science;chemistry;physics_and_astronomy;materials_science;chemistry;physics_and_astronomy;materials_science;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;physics_and_astronomy;materials_science;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry;medicine;biochemistry_genetics_and_molecular_biology;pharmacology_toxicology_and_pharmaceutics;chemistry,0.04;0.04;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
community_no: 18,18,6,30,1,0.8888888888888888,1,RuleBender;AUTO;SUNDIALS;BioNetGen;CVODE;MatCont,RuleBender;AUTO;SUNDIALS;BioNetGen;CVODE;MatCont,RuleBender;AUTO;SUNDIALS;BioNetGen;CVODE;MatCont,5,1,0,0,0.8333333333333334,0.16666666666666666,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
community_no: 19,19,4,12,1,0.8,1,Crimap;QTL Express;R/Qtl;qxpak,Crimap;QTL Express;R/Qtl;qxpak,Crimap;QTL Express;R/Qtl;qxpak,3,1,0,0,0.75,0.25,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
community_no: 20,20,3,6,1,0.6666666666666666,1,DS ViewerPro;ConSurf-HSSP;SHARP2,DS ViewerPro;ConSurf-HSSP;SHARP2,DS ViewerPro;ConSurf-HSSP;SHARP2,3,0,0,0,1,0,0,0,biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science,0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
community_no: 21,21,3,6,1,0.671957671957672,1,Chromeleon;LSM imaging;Openlab,LSM imaging;Openlab;Chromeleon,Chromeleon;LSM imaging;Openlab,3,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17
community_no: 22,22,3,6,1,0.6666666666666666,1,TouchStat;Habit 2000;VPixx,TouchStat;Habit 2000;VPixx,TouchStat;Habit 2000;VPixx,3,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11
community_no: 23,23,3,6,1,0.6666666666666666,1,iTeva;Alogps;MultiPak,iTeva;Alogps;MultiPak,iTeva;Alogps;MultiPak,3,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;computer_science;chemistry;chemical_engineering;medicine;biochemistry_genetics_and_molecular_biology;computer_science;chemistry;chemical_engineering;medicine;biochemistry_genetics_and_molecular_biology;computer_science;chemistry;chemical_engineering,0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
community_no: 24,24,2,2,1,0,1,TreeDyn;OHM,TreeDyn;OHM,TreeDyn;OHM,2,0,0,0,1,0,0,0,biochemistry_genetics_and_molecular_biology;biochemistry_genetics_and_molecular_biology;medicine;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science;immunology_and_microbiology;pharmacology_toxicology_and_pharmaceutics;chemistry;physics_and_astronomy;social_sciences;NA;veterinary;health_professions;chemical_engineering;engineering;nursing;materials_science;multidisciplinary;psychology;medicine;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science;immunology_and_microbiology;pharmacology_toxicology_and_pharmaceutics;chemistry;physics_and_astronomy;social_sciences;NA;veterinary;health_professions;chemical_engineering;engineering;nursing;materials_science;multidisciplinary;psychology,0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
community_no: 25,25,2,2,1,0,1,PhyloGibbs;PhyloGibbs-MP,PhyloGibbs;PhyloGibbs-MP,PhyloGibbs;PhyloGibbs-MP,1,1,0,0,0.5,0.5,0,0,biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science,0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
community_no: 26,26,2,2,1,0,1,MSACompro;MSAProbs,MSACompro;MSAProbs,MSACompro;MSAProbs,2,0,0,0,1,0,0,0,biochemistry_genetics_and_molecular_biology;computer_science;mathematics;biochemistry_genetics_and_molecular_biology;computer_science;mathematics,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 27,27,2,2,1,0,1,GAMESS;FragIt,GAMESS;FragIt,GAMESS;FragIt,2,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 28,28,2,2,1,0,1,ProtÃ©gÃ©;OntoFox,ProtÃ©gÃ©;OntoFox,ProtÃ©gÃ©;OntoFox,2,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 29,29,2,2,1,0,1,Skeeter Buster;CIMSiM,Skeeter Buster;CIMSiM,Skeeter Buster;CIMSiM,2,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 30,30,2,2,1,0,1,CloVR-ITS;CloVR,CloVR-ITS;CloVR,CloVR-ITS;CloVR,1,1,0,0,0.5,0.5,0,0,medicine;immunology_and_microbiology;medicine;immunology_and_microbiology,0.25;0.25;0.25;0.25
community_no: 31,31,2,2,1,0,1,Sente;Endnote,Sente;Endnote,Sente;Endnote,2,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 32,32,2,2,1,0,1,WinBugs;R2WinBUGS,WinBugs;R2WinBUGS,WinBugs;R2WinBUGS,1,1,0,0,0.5,0.5,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 33,33,2,2,1,0,1,Pong;Stella,Pong;Stella,Pong;Stella,2,0,0,0,1,0,0,0,medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;medicine;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences,0.17;0.17;0.17;0.17;0.17;0.17
community_no: 34,34,2,2,1,0,1,Bitbucket;LAILAPS-QSM,Bitbucket;LAILAPS-QSM,Bitbucket;LAILAPS-QSM,2,0,0,0,1,0,0,0,biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science;biochemistry_genetics_and_molecular_biology;agricultural_and_biological_sciences;neuroscience;computer_science;mathematics;environmental_science,0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
